Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Source,EID
"Liu J.-C., Chan P., Hsu F.-L., Chen Y.-J., Hsieh M.-H., Lo M.-Y., Lin J.-Y.",8939135100;26035666400;7202881042;36041187900;55655404600;7101897433;56129636600;,The in vitro inhibitory effects of crude extracts of traditional Chinese herbs on 3-hydroxy-3-methylglutaryl-coenzyme A reductase on vero cells,2002,American Journal of Chinese Medicine,30,4,,629,636,,19,10.1142/S0192415X02000454,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038014088&doi=10.1142%2fS0192415X02000454&partnerID=40&md5=ba59377f5dbaba55965d97fded3f6645,HMG Co-A reductase; Mevalonate; Pravastatin; Traditional Chinese herbs; Vero cells,Article,Final,Scopus,2-s2.0-0038014088
"Hong C.H., Hur S.K., Oh O.-J., Kim S.S., Nam K.A., Lee S.K.",7403579477;7004371401;6603420298;37109285300;7203003253;36067620500;,Evaluation of natural products on inhibition of inducible cyclooxygenase (COX-2) and nitric oxide synthase (iNOS) in cultured mouse macrophage cells,2002,Journal of Ethnopharmacology,83,1-2,,153,159,,178,10.1016/S0378-8741(02)00205-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036877020&doi=10.1016%2fS0378-8741%2802%2900205-2&partnerID=40&md5=a2e1bc3caed9420b64c062605b5575c0,Cyclooxygenase-2 (COX-2); Inducible nitric oxide synthase (iNOS); Lipopolysaccharide (LPS); Natural products; Prostaglandin E2; RAW264.7 cells,Article,Final,Scopus,2-s2.0-0036877020
"Jeong H.G., You H.J., Chang Y.-S., Park S.J., Moon Y.H., Woo E.-R.",55663373000;57206147922;36484241300;57191670967;36488409400;7103371220;,Inhibitory effects of medicinal herbs on cytochrome P450 drug metabolizing enzymes,2002,Korean Journal of Pharmacognosy,33,1,,35,41,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036120346&partnerID=40&md5=bb73042fab0f4c79ba1b9006abeab86f,50% inhibition concentration (IC50); Cytochrome P450; Medicinal herbs,Article,Final,Scopus,2-s2.0-0036120346
"Lee S.K., Hong C.-H., Huh S.-K., Kim S.-S., Oh O.-J., Min H.-Y., Park K.-K., Chung W.-Y., Hwang J.-K.",36067620500;7403579477;15022283100;37109285300;6603420298;56564751200;34668257100;7401983103;26643184500;,Suppressive effect of natural sesquiterpenoids on inducible cyclooxygenase (COX-2) and nitric oxide synthase (iNOS) activity in mouse macrophage cells,2002,"Journal of Environmental Pathology, Toxicology and Oncology",21,2,,141,148,,74,10.1615/jenvironpatholtoxicoloncol.v21.i2.70,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036087710&doi=10.1615%2fjenvironpatholtoxicoloncol.v21.i2.70&partnerID=40&md5=5cf8c9862ec6172d11f49b78451dccd1,Ar-turmerone; COX-2 inhibitors; INOS inhibitors; RAW 264.7 cells; Xanthorrhizol; β-turmerone,Conference Paper,Final,Scopus,2-s2.0-0036087710
"Cao H., Sasaki Y., Fushimi H., Komatsu K.",56369288900;7404559387;7006407424;7401864713;,Molecular analysis of medicinally-used Chinese and Japanese Curcuma based on 18S rRNA gene and trnK gene sequences,2001,Biological and Pharmaceutical Bulletin,24,12,,1389,1394,,56,10.1248/bpb.24.1389,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035207097&doi=10.1248%2fbpb.24.1389&partnerID=40&md5=8d80f3906825c3af75d6f592d44f3e94,18S rRNA gene; Curcuma; Molecular taxonomy; Zingiberaceae,Article,Final,Scopus,2-s2.0-0035207097
Toda S.,7102745852;,Inhibitory effects of aromatic herbs on lipid peroxidation and protein oxidative modification of mice brain homogenate by copper in vitro,2001,Phytotherapy Research,15,6,,541,543,,7,10.1002/ptr.848,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034811261&doi=10.1002%2fptr.848&partnerID=40&md5=5ebbd4c8b8edd0a6bb46164dc5817b9f,Aromatic herb; Copper; Lipid peroxidation; Oxidative modification,Article,Final,Scopus,2-s2.0-0034811261
"Ram V.J., Kumari S.",7004459100;57221857127;,Natural products of plant origin as anticancer agents,2001,Drug News and Perspectives,14,8,,465,482,,33,10.1358/dnp.2001.14.8.858416,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035707873&doi=10.1358%2fdnp.2001.14.8.858416&partnerID=40&md5=58a669d35ef34f59839d5a0c2b309260,,Review,Final,Scopus,2-s2.0-0035707873
"Zheng S., Yang H., Zhang S., Wang X., Yu L., Lu J., Li J.",7403146372;57198825643;23391621200;7501864616;56160360300;7601563774;7410055320;,Initial study on naturally occurring products from traditional Chinese herbs and vegetables for chemoprevention,1997,Journal of Cellular Biochemistry,67,SUPPL. 27,,106,112,,97,10.1002/(SICI)1097-4644(1997)27+<106::AID-JCB17>3.0.CO;2-L,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031325822&doi=10.1002%2f%28SICI%291097-4644%281997%2927%2b%3c106%3a%3aAID-JCB17%3e3.0.CO%3b2-L&partnerID=40&md5=3ec7084f5be206a9d99d9bb6ece679f4,Allicin; Antitumor activity; Carcinogenesis; Elemene; Garlic; Leukemia,Article,Final,Scopus,2-s2.0-0031325822
"Takano I., Yasuda I., Takeya K., Itokawa H.",57207602412;24336771500;7102044133;7102659221;,Guaiane sesquiterpene lactones from Curcuma aeruginosa,1995,Phytochemistry,40,4,,1197,1200,,58,10.1016/0031-9422(95)00425-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028851278&doi=10.1016%2f0031-9422%2895%2900425-7&partnerID=40&md5=168abd8b04a0daf23efdff2bd02590be,Curcuma aeruginosa ( = C.zedoaria); guaiane-type sesquiterpene lactones; rhizomes; zedoalactone A; zedoalactone B; Zingiberaceae,Article,Final,Scopus,2-s2.0-0028851278
"Pandji C., Grimm C., Wray V., Witte L., Proksch P.",24303241000;7101846436;7006669641;57035580800;7005356651;,Insecticidal constituents from four species of the zingiberaceae,1993,Phytochemistry,34,2,,415,419,,79,10.1016/0031-9422(93)80020-S,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000868679&doi=10.1016%2f0031-9422%2893%2980020-S&partnerID=40&md5=a608c9264af2806ced6cbdd59692ebc9,C. zedoaria; Curcuma xanthorrhiza; insecticidal constituents; K. pandurata; Kaempferia galanga; Spodoptera littoralis.; Zingiberaceae,Article,Final,Scopus,2-s2.0-0000868679
"Tachibana Y., Kawanishi K.",57213261372;16207662100;,Mitogenic activities in the protein fractions of crude drugs,1992,Planta Medica,58,3,,250,254,,8,10.1055/s-2006-961446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026668354&doi=10.1055%2fs-2006-961446&partnerID=40&md5=303784ee419a0db3e7991403cac0aad0,,Article,Final,Scopus,2-s2.0-0026668354
"Kuroyanagi M., Ueno A., Ujiie K., Sato S.",7005057442;7202927534;7004022233;55474111300;,Structures of Sesquiterpenes from Curcuma aromatica Salisb.,1987,Chemical and Pharmaceutical Bulletin,35,1,,53,59,,79,10.1248/cpb.35.53,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023149431&doi=10.1248%2fcpb.35.53&partnerID=40&md5=91fa2a6ab271cdb780722f8b65d037a7,"(4S,5S)-germacrone; 4,5-epoxide; Curcuma aromatica; germacrane-type sesquiterpene; guaiane-type sesquiterpene; isozedoarondiol; neocurdione; sesquiterpene; X-ray analysis; zedoarondiol",Article,Final,Scopus,2-s2.0-0023149431
"Moon C.K., Park K.S., Lee S.H., Yoon Y.P.",7202189026;7408064566;26643496800;24828425100;,Antitumor activities of several phytopolysaccharides,1985,Archives of Pharmacal Research,8,1,,42,44,,11,10.1007/BF02897565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645780705&doi=10.1007%2fBF02897565&partnerID=40&md5=4cb93664cf6e6afffe733e46ae076340,albizzia Julibrissin; Antitumor activity against sarcoma 180; Brassica Juncea; Curcuma Zedoaria; Dephne Pseudogenkwa; Foeniculum Vulgare; Forsythia Corea; Gleditchia Officinalis; Lonicera Japonica; Olibanum; Polysaccharides; Prunus Persica; Rheum Coreanum; Scirpus Maritimus,Article,Final,Scopus,2-s2.0-33645780705
"Lekatompessy S.J.R., Nuriyanah, Widowati T., Simarmata R.",56497176700;57211192921;56497076800;57035777500;,Potential of isolated bacteria biostimulant from soil roots on white turmeric plants (Curcuma zedoaria),2021,IOP Conference Series: Earth and Environmental Science,762,1,012049,,,,,10.1088/1755-1315/762/1/012049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106418418&doi=10.1088%2f1755-1315%2f762%2f1%2f012049&partnerID=40&md5=b27735e2fa6ced12949ddc9e03dd288f,,Conference Paper,Final,Scopus,2-s2.0-85106418418
"Hiremani V.D., Khanapure S., Gasti T., Goudar N., Vootla S.K., Masti S.P., Malabadi R.B., Mudigoudra B.S., Chougale R.B.",57216655974;57219607616;57216654414;57210196967;55487368300;6505918170;55893101800;57227739800;6603158709;,Preparation and physicochemical assessment of bioactive films based on chitosan and starchy powder of white turmeric rhizomes (Curcuma Zedoaria) for green packaging applications,2021,International Journal of Biological Macromolecules,,,,,,,,10.1016/j.ijbiomac.2021.11.050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119329712&doi=10.1016%2fj.ijbiomac.2021.11.050&partnerID=40&md5=8a94d0b92f6447134aee5c531de48dc7,Antimicrobial; Biodegradable; Mechanical; Oil resistant; Thermal,Article,Article in Press,Scopus,2-s2.0-85119329712
"Gafar P.A., Agustini S.",57216133546;55872733900;,"Antioxidant Activity of Blended of Robusta Coffee (Coffea canephora L.) with the White Turmeric (Curcuma zedoaria (Berg.) Roscoe) and Wild Ginger (Curcuma xantorrhiza, Roxb.)",2020,IOP Conference Series: Materials Science and Engineering,742,1,012018,,,,1,10.1088/1757-899X/742/1/012018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082571064&doi=10.1088%2f1757-899X%2f742%2f1%2f012018&partnerID=40&md5=edcde1abfc1c87cf9068a9668c668c99,,Conference Paper,Final,Scopus,2-s2.0-85082571064
"Yang Y., Pan Y., Zhou X.",57215013283;57215010193;57223811713;,"Analysis of clinical application of turmeric , zedoary turmeric and turmeric",2019,Pharmaceutical Care and Research,19,6,,467,470,,,10.5428/pcar20190619,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079609841&doi=10.5428%2fpcar20190619&partnerID=40&md5=2e1133825132a36e449175c470a3f9f7,,Article,Final,Scopus,2-s2.0-85079609841
"Nurdin E., Fitrimawati F.",55662246700;57201183222;,"The Effect of the Gambir (Uncaria gambir (Hunt.) Roxb.) Leaves Waste and White Turmeric (Curcuma zedoaria) for the Productivity, Antioxidant Content and Mastitis Condition of the Fries Holland Dairy Cows",2018,IOP Conference Series: Earth and Environmental Science,119,1,012041,,,,2,10.1088/1755-1315/119/1/012041,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043711918&doi=10.1088%2f1755-1315%2f119%2f1%2f012041&partnerID=40&md5=42686c78ae0369e13040851e66a180a6,,Conference Paper,Final,Scopus,2-s2.0-85043711918
"Datt C., Malik S., Kundu S.S.",24476969700;56249470900;7201407185;,"Effect of substitution of maize with wild sotti (Curcuma zedoaria) rhizomes in the diets of crossbred pigs on feed intake, growth and feed conversion ratio",2013,Indian Veterinary Journal,90,10,,37,39,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970946797&partnerID=40&md5=a9cdcaf6d74dff82f5750f015eccb8fd,,Article,Final,Scopus,2-s2.0-84970946797
"Qian W., Zhao F.H., Shi D.Z.",57208612265;23471559100;19738425500;,[Advances of cardiovascular pharmacological effects of Curcuma zedoary].,2012,"Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine / Zhongguo Zhong xi yi jie he xue hui, Zhongguo Zhong yi yan jiu yuan zhu ban",32,4,,575,576,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891635903&partnerID=40&md5=e78ff816ab6a4633c425a922fff31f95,,Review,Final,Scopus,2-s2.0-84891635903
"Liu H.Y., Pen A.B., Liao A.J., Shi W.",36994708100;36994834500;57213661455;57198923378;,[Preliminary research on the mechanism of apoptosis hepatic stellate cells induced by zedoary turmeric oil].,2009,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,17,10,,790,791,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951994359&partnerID=40&md5=d990149df28b7a725ae026d82ecdf7e6,,Article,Final,Scopus,2-s2.0-79951994359
"Guo Y., Peng A.B., Liao A.J., Shi W., Hu G.S., Zhang L.M.",55712478700;7005718608;57213661455;57198923378;55460986900;15039890000;,"Effect of zedoary turmeric oil on proliferation, apoptosis and extracellular matrix secretion of hepatic stellate cells",2008,Zhonghua gan zang bing za zhi = Zhonghua ganzangbing zazhi = Chinese journal of hepatology,16,4,,302,303,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954672904&partnerID=40&md5=8ec88751425be76bb1536b84f65648a5,,Article,Final,Scopus,2-s2.0-77954672904
"Wu J.-F., Lu X., Tang W.-Y., Lian X.-H., Kong H.-W., Ruan C.-H., Xu G.-W.",35168314200;55778140669;57199988101;7005500387;7201353005;7103203611;7404264029;,Application of comprehensive two-dimensional gas chromatography/time-of-flight mass spectrometry to analysis of zedoary volatile oil,2004,Gaodeng Xuexiao Huaxue Xuebao/Chemical Journal of Chinese Universities,25,8,,1432,,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-6944248866&partnerID=40&md5=364d6570ed5d103665f2b80e6916de58,,Article,Final,Scopus,2-s2.0-6944248866
"Li B., Liang N.",56129893900;57204297197;,Advances in the clinical application and experimental study of Curcurma zedoaria oil preparations,2003,Zhong yao cai = Zhongyaocai = Journal of Chinese medicinal materials,26,1,,68,71,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0642312184&partnerID=40&md5=49901debe233ebf7b4dbefe2e0151f8b,,Review,Final,Scopus,2-s2.0-0642312184
"Wang L., Cheng G., Nie J.",57196342021;7401862694;57206130364;,"Micellar solubilized spectrophotometric determination of trace Mn2+ in rhizoma Zedoariae, fruit Amomi and herba Epimedii",1995,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,20,10,,617,"618, 640",,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029385676&partnerID=40&md5=ab773df8fda349a2a75d696b4286d548,,Article,Final,Scopus,2-s2.0-0029385676
"Zhao R., Chen C., Wu Y.",7401975805;57206559896;57202084678;,Isolation and structure determination of furan sesquiterpene from Chinese traditional herb ezhu (rhizome of Curcuma zedoaria Rosc.),1991,Zhongguo Zhong yao za zhi = Zhongguo zhongyao zazhi = China journal of Chinese materia medica,16,5,,291,"292, 319",,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026150069&partnerID=40&md5=e9af6c2eb94b6adde135926e7b5c48d9,,Article,Final,Scopus,2-s2.0-0026150069
"Watanabe K., Shibata M., Yano S., Cai Y., Shibuya H., Kitagawa I.",57198181902;57199874941;7401828254;55529953100;57193657059;7102555417;,Antiulcer activity of extracts and isolated compounds from Zedoary (Gajutsu) cultivated in Yakushima (Japan),1986,Yakugaku Zasshi,106,12,,1137,1142,,18,10.1248/yakushi1947.106.12_1137,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022919996&doi=10.1248%2fyakushi1947.106.12_1137&partnerID=40&md5=f49168fa5775b989845460b2ba718f30,,Article,Final,Scopus,2-s2.0-0022919996
"Shibuya H., Yoshihara M., Kitano E.",57193657059;24460120300;6603739023;,Qualitative and quantiative analysis of essential oil constitutents in various Zedoariae Rhizoma (Gajutsu) by means of gas liquid chromatography-mass spectrometry,1986,Yakugaku Zasshi,106,3,,212,216,,12,10.1248/yakushi1947.106.3_212,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022555586&doi=10.1248%2fyakushi1947.106.3_212&partnerID=40&md5=2497c294787b72966547d7b6362f44a5,,Article,Final,Scopus,2-s2.0-0022555586
Tian S.J.,7202367401;,The volatile oil of zedoaria IV: TLC densitometric determination of germacrone in the essential oils from Curcuma wenyujin and C. kwangsinensis,1985,"Zhong yao tong bao (Beijing, China : 1981)",10,11,,29,31,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022159755&partnerID=40&md5=7e4de42ef1937c8dc8ec8464217a86db,,Article,Final,Scopus,2-s2.0-0022159755
"Yamahara J., Matsuda H., Sawada T., Kushida H., Shibuya H., Kitagawa I.",7006369833;35475236100;35565724100;36752521300;57193657059;7102555417;,Effect of crude drugs on experimental liver damages I. The active principle of Zedoariae rhizoma,1982,Yakugaku Zasshi,102,3,,306,309,,9,10.1248/yakushi1947.102.3_306,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0019985705&doi=10.1248%2fyakushi1947.102.3_306&partnerID=40&md5=6bbcad9cd8d3e538764641e0667a2300,,Article,Final,Scopus,2-s2.0-0019985705
"Gupta S.K., Banerjee A.B., Achari B.",55495150700;57212417455;7003866262;,"Isolation of ethyl p methoxycinnamate, the major antifungal principle of Curcuma zedoaria",1976,Lloydia,39,4,,218,222,,36,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017093336&partnerID=40&md5=3c954262d50d4f14bc4f306b0a27fdd4,,Article,Final,Scopus,2-s2.0-0017093336
Gupta S.K.,55495150700;,Antifungal activity of Curcuma zedoaria Roscoe,1976,Indian Journal of Biochemistry and Biophysics,13,1,,31,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017185111&partnerID=40&md5=cdb35d8e30852b0912b2c0c285185d79,,Article,Final,Scopus,2-s2.0-0017185111
"Chowdhyry A.K., Chowdhury S.A., Khan N.A.",6504574561;57199902038;7401797692;,Effect of heat and aqueous hydrochloric acid on starch of Curcuma zedoaria and influence of intermolecular hydrogen bonding with water in treated starch product,1976,Bangladesh Pharmaceutical Journal,5,4,,17,20,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017046096&partnerID=40&md5=5fe83eba91a1be8b4ab7eb7850473fa2,,Article,Final,Scopus,2-s2.0-0017046096
"Viswanatha V., Krishna Rao G.S.",57153940200;36829830400;,"Studies in terpenoids. Part XXXI. Synthesis of pyrocurzerenone, a furosesquiterpenoid from Curcuma zedoaria",1974,"Journal of the Chemical Society, Perkin Transactions 1",,,,450,453,,5,10.1039/p19740000450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37049122714&doi=10.1039%2fp19740000450&partnerID=40&md5=7aa8cf668188bddca3ae622e1cda7369,,Article,Final,Scopus,2-s2.0-37049122714
"Fukushima S., Kuroyanagi M., Ueno A., Akahori Y., Saiki Y.",7202543178;57220415847;7202927534;7007046787;57217606235;,"Structure of curzerenone, a new sesquiterpene from Curcuma zedoaria",1970,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,90,7,,863,869,,8,10.1248/yakushi1947.90.7_863,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014822676&doi=10.1248%2fyakushi1947.90.7_863&partnerID=40&md5=7f1cf181ff8cd2437dbc2c0473c9cde8,,Article,Final,Scopus,2-s2.0-0014822676
"Fukushima S., Kuroyanagi M., Akahori Y., Saiki Y., Ueno A.",7202543178;57220415847;7007046787;57217606235;7202927534;,"Structure of zedoarone, a new sesquiterpene from Curcuma zedoaria",1968,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,88,6,,792,794,,5,10.1248/yakushi1947.88.6_792,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0014291967&doi=10.1248%2fyakushi1947.88.6_792&partnerID=40&md5=51b086a90c455dc3223adf52781b2aab,,Article,Final,Scopus,2-s2.0-0014291967
"CHOPRA I.C., JAMWAL K.S., KHAJURIA B.N.",35126874100;6601988273;35524831600;,"Pharmacological action of some common essential oil-bearing plants used in indigenous medicine. I. Pharmacological action of Acorus calamus, Curcuma zedoaria, Xanthoxylum alatum and Angelica archangelica.",1954,The Indian journal of medical research,42,3,,381,384,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848812434&partnerID=40&md5=792dcef7062c9e3294ee07b6990fcb99,,Article,Final,Scopus,2-s2.0-34848812434
Meyer A.,57190144494;,"Beiträge zur Kenntniss pharmaceutisch wichtiger Gewächse. II Ueber die Rhizome der officinellen Zingiberaceen, Curcuma longa L., Curcuma Zedoaria Roscoe, Zingiber officinale Roscoe, Alpinia officinarum Hauce",1881,Archiv der Pharmazie,218,6,,401,429,,,10.1002/ardp.18812180602,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977686167&doi=10.1002%2fardp.18812180602&partnerID=40&md5=77e6c07f6548493d4703a9d6613680ec,,Article,Final,Scopus,2-s2.0-84977686167
"Li M., Guo T., Lin J., Huang X., Ke Q., Wu Y., Fang C., Hu C.",57204893491;57208314347;57221316999;57279928700;57279502400;57221318652;57279720300;22334054400;,Curcumin inhibits the invasion and metastasis of triple negative breast cancer via Hedgehog/Gli1 signaling pathway,2022,Journal of Ethnopharmacology,283,,114689,,,,,10.1016/j.jep.2021.114689,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116001409&doi=10.1016%2fj.jep.2021.114689&partnerID=40&md5=5edddf88f1f30a626db17e86a56242d6,Breast cancer stem cells; Curcumin; Gli1; Hedgehog; Triple negative breast cancer,Article,Final,Scopus,2-s2.0-85116001409
"Zhao M., Hao M., Tong H., Su L., Fei C., Gu W., Mao J., Lu T., Mao C.",57374980300;57193726024;57211942434;56949704400;57194632287;57374667200;55334137600;16304150600;57226616967;,Screening of blood-activating active components from Curcuma wenyujin Y.H. Chen et C. Ling rhizome based on spectrum-effect relationship analysis and network pharmacology,2022,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences,1188,,123022,,,,,10.1016/j.jchromb.2021.123022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121286580&doi=10.1016%2fj.jchromb.2021.123022&partnerID=40&md5=632f0cd9e1d230a247156a81cfb10203,Bivariate correlation analysis; Curcuma wenyujin Y.H. Chen et C. Ling rhizome; Network pharmacology; Spectrum-effect relationship; UPLC-Q/TOF-MS,Article,Final,Scopus,2-s2.0-85121286580
"Qian Y., Shanbo M., Shaojie H., Long L., Yuhan C., Jin W., Shan M., Xiao-peng S.",57247137700;57248645500;57247137800;57248002000;57248002100;57247137900;57248435600;57247353800;,Integrating bioinformatics with pharmacological evaluation for illustrating the action mechanism of herbal formula Jiao'e mixture in suppressing lung carcinoma,2021,Journal of Ethnopharmacology,281,,114513,,,,,10.1016/j.jep.2021.114513,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114323656&doi=10.1016%2fj.jep.2021.114513&partnerID=40&md5=6fd182a44c466516841f8e41a3c348af,Apoptosis; Jiao'e mixture; Lung carcinoma; Network pharmacology; PI3K/AKT,Article,Final,Scopus,2-s2.0-85114323656
"Zheng J., Xu Y., Khan A., Sun P., Sun Y., Fan K., Yin W., Wang S., Li H., Sun N.",57216511341;57216503954;57208081908;56921171600;55354231000;41561184500;55513746900;20735581300;23035440600;57209848808;,Curcumol inhibits encephalomyocarditis virus by promoting IFN-β secretion,2021,BMC Veterinary Research,17,1,318,,,,,10.1186/s12917-021-03015-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116080928&doi=10.1186%2fs12917-021-03015-4&partnerID=40&md5=fb8b807143f6f7081b56228b6f2e1164,Antivirus; Curcumol; EMCV; IFN-β,Article,Final,Scopus,2-s2.0-85116080928
"Ullah M.A., Johora F.T., Sarkar B., Araf Y., Ahmed N., Nahar A.N., Akter T.",57216082465;57191169337;57216082129;57216253470;57222579848;57222812282;57222811483;,Computer-assisted evaluation of plant-derived β-secretase inhibitors in Alzheimer’s disease,2021,Egyptian Journal of Medical Human Genetics,22,1,26,,,,,10.1186/s43042-021-00150-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104075280&doi=10.1186%2fs43042-021-00150-3&partnerID=40&md5=1ea0c94f5ecb8ad8d71d0b0f2a8c83ea,Alzheimer’s disease; Amentoflavone; Bilobetin; Docking; Ellagic acid; Inhibitors; β-secretase,Article,Final,Scopus,2-s2.0-85104075280
"Liu X.-Y., Chang Y.-L., Wang X.-H., Wang Y., Ren X.-Y., Ma J.-M., Yu A.-X., Wei J., Fan Q.-Q., Dong Y., Song R.-L., Yao J.-L., Shan D.-J., She G.-M.",57212683468;57195421730;57201671673;56978784300;57195424842;57210886212;57219940168;57219936599;57219938146;57217987357;57219937855;57226060440;57210898808;24492333400;,"An integrated approach to uncover anti-tumor active materials of Curcumae Rhizoma-Sparganii Rhizoma based on spectrum-effect relationship, molecular docking, and ADME evaluation",2021,Journal of Ethnopharmacology,280,,114439,,,,,10.1016/j.jep.2021.114439,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111049636&doi=10.1016%2fj.jep.2021.114439&partnerID=40&md5=3a49df17b97ad5fc6a704426232b8b85,ADME; Anti-tumor; Curcumae Rhizoma-Sparganii Rhizoma; Molecular docking; Random forest; Spectrum-effect relationship,Article,Final,Scopus,2-s2.0-85111049636
"Halimah I., Kurniawan A., Iswahyudi, Sugiharti R.J., Sriyani M.E.",57205401361;57210255339;57210261067;57207360532;57207358238;,Biodistribution of 99mTc-glutathione in animal model of breast cancer treated with white turmeric,2021,AIP Conference Proceedings,2381,,020016,,,,,10.1063/5.0067617,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119372377&doi=10.1063%2f5.0067617&partnerID=40&md5=c83d59491c167f403fed8af8abbfc8fe,,Conference Paper,Final,Scopus,2-s2.0-85119372377
"Demertzidou V.P., Kourgiantaki M., Zografos A.L.",56196514700;57299888500;6602697508;,A multifunctional divergent scaffold to access the formal syntheses of various sesquiterpenoids,2021,Organic and Biomolecular Chemistry,19,40,,8687,8690,,1,10.1039/d1ob01716k,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116784415&doi=10.1039%2fd1ob01716k&partnerID=40&md5=51d9cac6ca2ad8f717d00fc5b20d0117,,Article,Final,Scopus,2-s2.0-85116784415
"Li Z., Wang Z., Dong F., Shi W., Dai W., Zhao J., Li Q., Fang Z.-E., Ren L., Liu T., Wei Z., Mou W., Lin L., Yang Y., Xiao X., Ma L., Bai Z.",57224676451;57206184774;57208165247;57299286500;57224680627;57300017400;57224686530;57299105800;57299286600;57287829800;57223220982;57300017500;57299286700;57299105900;15756132300;56623654800;56926014400;,Germacrone Attenuates Hepatic Stellate Cells Activation and Liver Fibrosis via Regulating Multiple Signaling Pathways,2021,Frontiers in Pharmacology,12,,745561,,,,,10.3389/fphar.2021.745561,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117278952&doi=10.3389%2ffphar.2021.745561&partnerID=40&md5=a0052bb9d509058f27962cf8aa89ed7a,apoptosis; germacrone; HSCs: hepatic stellate cells; ROS: reactive oxygen species; TGF-β/Smad pathway,Article,Final,Scopus,2-s2.0-85117278952
[No author name available],[No author id available],Graphical Abstract TOC,2021,Journal of Drug Delivery Science and Technology,65,,102827,,,,,10.1016/S1773-2247(21)00507-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114424708&doi=10.1016%2fS1773-2247%2821%2900507-4&partnerID=40&md5=9b278b652d0c089cbfb9ad9e1948ad44,,Editorial,Final,Scopus,2-s2.0-85114424708
